Mon Apr 1 2019,7:30p,Miami Heat,,Boston Celtics,,,,,
Mon Apr 1 2019,7:30p,Milwaukee Bucks,,Brooklyn Nets,,,,,
Mon Apr 1 2019,8:30p,Philadelphia 76ers,,Dallas Mavericks,,,,,
Mon Apr 1 2019,7:00p,Detroit Pistons,,Indiana Pacers,,,,,
Mon Apr 1 2019,8:00p,Portland Trail Blazers,,Minnesota Timberwolves,,,,,
Mon Apr 1 2019,7:30p,Chicago Bulls,,New York Knicks,,,,,
Mon Apr 1 2019,10:00p,Cleveland Cavaliers,,Phoenix Suns,,,,,
Mon Apr 1 2019,7:30p,Orlando Magic,,Toronto Raptors,,,,,
Mon Apr 1 2019,9:00p,Charlotte Hornets,,Utah Jazz,,,,,
Tue Apr 2 2019,10:30p,Denver Nuggets,,Golden State Warriors,,,,,
Tue Apr 2 2019,8:00p,Los Angeles Lakers,,Oklahoma City Thunder,,,,,
Tue Apr 2 2019,10:00p,Houston Rockets,,Sacramento Kings,,,,,
Tue Apr 2 2019,8:30p,Atlanta Hawks,,San Antonio Spurs,,,,,
Wed Apr 3 2019,7:30p,Philadelphia 76ers,,Atlanta Hawks,,,,,
Wed Apr 3 2019,7:30p,Toronto Raptors,,Brooklyn Nets,,,,,
Wed Apr 3 2019,8:30p,Minnesota Timberwolves,,Dallas Mavericks,,,,,
Wed Apr 3 2019,9:00p,San Antonio Spurs,,Denver Nuggets,,,,,
Wed Apr 3 2019,7:00p,Indiana Pacers,,Detroit Pistons,,,,,
Wed Apr 3 2019,10:30p,Houston Rockets,,Los Angeles Clippers,,,,,
Wed Apr 3 2019,7:30p,Boston Celtics,,Miami Heat,,,,,
Wed Apr 3 2019,8:00p,Charlotte Hornets,,New Orleans Pelicans,,,,,
Wed Apr 3 2019,7:00p,New York Knicks,,Orlando Magic,,,,,
Wed Apr 3 2019,10:00p,Utah Jazz,,Phoenix Suns,,,,,
Wed Apr 3 2019,10:00p,Memphis Grizzlies,,Portland Trail Blazers,,,,,
Wed Apr 3 2019,7:00p,Chicago Bulls,,Washington Wizards,,,,,
Thu Apr 4 2019,10:30p,Golden State Warriors,,Los Angeles Lakers,,,,,
Thu Apr 4 2019,8:00p,Milwaukee Bucks,,Philadelphia 76ers,,,,,
Thu Apr 4 2019,10:00p,Cleveland Cavaliers,,Sacramento Kings,,,,,
Fri Apr 5 2019,7:00p,Toronto Raptors,,Charlotte Hornets,,,,,
Fri Apr 5 2019,8:30p,Memphis Grizzlies,,Dallas Mavericks,,,,,
Fri Apr 5 2019,10:30p,Portland Trail Blazers,,Denver Nuggets,,,,,
Fri Apr 5 2019,10:30p,Cleveland Cavaliers,,Golden State Warriors,,,,,
Fri Apr 5 2019,8:00p,New York Knicks,,Houston Rockets,,,,,
Fri Apr 5 2019,8:00p,Boston Celtics,,Indiana Pacers,,,,,
Fri Apr 5 2019,10:30p,Los Angeles Lakers,,Los Angeles Clippers,,,,,
Fri Apr 5 2019,8:00p,Miami Heat,,Minnesota Timberwolves,,,,,
Fri Apr 5 2019,8:00p,Detroit Pistons,,Oklahoma City Thunder,,,,,
Fri Apr 5 2019,7:00p,Atlanta Hawks,,Orlando Magic,,,,,
Fri Apr 5 2019,10:00p,New Orleans Pelicans,,Phoenix Suns,,,,,
Fri Apr 5 2019,9:00p,Sacramento Kings,,Utah Jazz,,,,,
Fri Apr 5 2019,7:00p,San Antonio Spurs,,Washington Wizards,,,,,
Sat Apr 6 2019,8:00p,Philadelphia 76ers,,Chicago Bulls,,,,,
Sat Apr 6 2019,5:00p,Brooklyn Nets,,Milwaukee Bucks,,,,,
Sun Apr 7 2019,7:30p,Orlando Magic,,Boston Celtics,,,,,
Sun Apr 7 2019,3:00p,San Antonio Spurs,,Cleveland Cavaliers,,,,,
Sun Apr 7 2019,4:00p,Charlotte Hornets,,Detroit Pistons,,,,,
Sun Apr 7 2019,8:30p,Los Angeles Clippers,,Golden State Warriors,,,,,
Sun Apr 7 2019,8:00p,Phoenix Suns,,Houston Rockets,,,,,
Sun Apr 7 2019,5:00p,Brooklyn Nets,,Indiana Pacers,,,,,
Sun Apr 7 2019,9:30p,Utah Jazz,,Los Angeles Lakers,,,,,
Sun Apr 7 2019,6:00p,Dallas Mavericks,,Memphis Grizzlies,,,,,
Sun Apr 7 2019,7:00p,Atlanta Hawks,,Milwaukee Bucks,,,,,
Sun Apr 7 2019,3:30p,Oklahoma City Thunder,,Minnesota Timberwolves,,,,,
Sun Apr 7 2019,7:30p,Washington Wizards,,New York Knicks,,,,,
Sun Apr 7 2019,9:00p,Denver Nuggets,,Portland Trail Blazers,,,,,
Sun Apr 7 2019,9:00p,New Orleans Pelicans,,Sacramento Kings,,,,,
Sun Apr 7 2019,12:00p,Miami Heat,,Toronto Raptors,,,,,
Tue Apr 9 2019,8:00p,New York Knicks,,Chicago Bulls,,,,,
Tue Apr 9 2019,7:00p,Charlotte Hornets,,Cleveland Cavaliers,,,,,
Tue Apr 9 2019,8:30p,Phoenix Suns,,Dallas Mavericks,,,,,
Tue Apr 9 2019,7:00p,Memphis Grizzlies,,Detroit Pistons,,,,,
Tue Apr 9 2019,10:30p,Portland Trail Blazers,,Los Angeles Lakers,,,,,
Tue Apr 9 2019,7:30p,Philadelphia 76ers,,Miami Heat,,,,,
Tue Apr 9 2019,8:00p,Toronto Raptors,,Minnesota Timberwolves,,,,,
Tue Apr 9 2019,8:00p,Golden State Warriors,,New Orleans Pelicans,,,,,
Tue Apr 9 2019,9:30p,Houston Rockets,,Oklahoma City Thunder,,,,,
Tue Apr 9 2019,9:00p,Denver Nuggets,,Utah Jazz,,,,,
Tue Apr 9 2019,7:00p,Boston Celtics,,Washington Wizards,,,,,
Wed Apr 10 2019,8:00p,Indiana Pacers,,Atlanta Hawks,,,,,
Wed Apr 10 2019,8:00p,Miami Heat,,Brooklyn Nets,,,,,
Wed Apr 10 2019,8:00p,Orlando Magic,,Charlotte Hornets,,,,,
Wed Apr 10 2019,10:30p,Minnesota Timberwolves,,Denver Nuggets,,,,,
Wed Apr 10 2019,10:30p,Utah Jazz,,Los Angeles Clippers,,,,,
Wed Apr 10 2019,8:00p,Golden State Warriors,,Memphis Grizzlies,,,,,
Wed Apr 10 2019,8:00p,Oklahoma City Thunder,,Milwaukee Bucks,,,,,
Wed Apr 10 2019,8:00p,Detroit Pistons,,New York Knicks,,,,,
Wed Apr 10 2019,8:00p,Chicago Bulls,,Philadelphia 76ers,,,,,
Wed Apr 10 2019,10:30p,Sacramento Kings,,Portland Trail Blazers,,,,,
Wed Apr 10 2019,8:00p,Dallas Mavericks,,San Antonio Spurs,,,,,