1,Alex Abrines\abrinal01,SG,24,OKC,6,0,18.3,1.3,3.3,.400,1.0,2.2,.462,0.3,1.2,.286,.550,0.3,0.3,1.000,0.5,2.2,2.7,0.3,0.8,0.3,0.2,1.8,4.0
2,Steven Adams\adamsst01,C,24,OKC,6,6,33.3,4.5,7.7,.587,0.0,0.0,,4.5,7.7,.587,.587,1.5,2.2,.692,3.2,4.3,7.5,1.5,0.7,0.7,0.7,2.5,10.5
3,Bam Adebayo\adebaba01,C,20,MIA,5,0,15.4,1.4,3.0,.467,0.0,0.2,.000,1.4,2.8,.500,.467,0.6,2.8,.214,1.8,2.2,4.0,0.0,0.0,0.4,0.4,1.6,3.4
4,LaMarcus Aldridge\aldrila01,C,32,SAS,5,5,35.4,7.4,16.0,.463,0.6,1.0,.600,6.8,15.0,.453,.481,8.2,8.4,.976,2.6,6.6,9.2,2.4,0.6,0.4,1.8,1.8,23.6
5,Al-Farouq Aminu\aminual01,PF,27,POR,4,4,32.8,6.8,13.0,.519,3.3,7.5,.433,3.5,5.5,.636,.644,0.5,0.5,1.000,3.0,6.0,9.0,1.3,1.0,0.5,1.5,2.0,17.3
6,Justin Anderson\anderju01,SF,24,PHI,7,0,4.7,0.4,1.1,.375,0.3,1.0,.286,0.1,0.1,1.000,.500,0.0,0.0,,0.1,1.1,1.3,0.0,0.1,0.0,0.3,1.1,1.1
7,Kyle Anderson\anderky01,SF,24,SAS,5,1,14.6,2.4,4.0,.600,0.0,0.8,.000,2.4,3.2,.750,.600,0.6,0.8,.750,1.0,1.6,2.6,0.6,1.2,0.2,0.6,2.0,5.4
8,Ryan Anderson\anderry01,PF,29,HOU,8,0,9.4,0.9,2.1,.412,0.6,1.8,.357,0.3,0.4,.667,.559,0.0,0.0,,0.3,1.1,1.4,0.8,0.3,0.1,0.3,0.8,2.4
9,Giannis Antetokounmpo\antetgi01,PF,23,MIL,7,7,40.0,9.9,17.3,.570,0.6,2.0,.286,9.3,15.3,.607,.587,5.4,7.9,.691,1.1,8.4,9.6,6.3,1.4,0.9,2.4,4.0,25.7
10,Carmelo Anthony\anthoca01,PF,33,OKC,6,6,32.3,4.5,12.0,.375,1.0,4.7,.214,3.5,7.3,.477,.417,1.8,2.5,.733,0.5,5.2,5.7,0.3,1.7,0.7,1.0,2.3,11.8
11,OG Anunoby\anunoog01,SF,20,TOR,10,10,23.8,2.9,5.2,.558,1.3,2.9,.448,1.6,2.3,.696,.683,0.8,1.1,.727,0.9,1.2,2.1,0.7,0.6,0.4,0.6,2.3,7.9
12,Trevor Ariza\arizatr01,SF,32,HOU,12,12,31.8,3.3,7.8,.419,1.8,5.3,.328,1.5,2.4,.621,.532,1.3,1.8,.714,0.3,3.5,3.8,1.3,1.0,0.1,0.3,2.3,9.5
13,Luke Babbitt\babbilu01,SF,28,MIA,2,0,1.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Wade Baldwin\baldwwa01,PG,21,POR,4,0,4.8,0.3,1.0,.250,0.3,0.3,1.000,0.0,0.8,.000,.375,0.3,0.5,.500,0.0,0.8,0.8,0.8,0.3,0.3,0.8,0.3,1.0
15,Jerryd Bayless\bayleje01,SG,29,PHI,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Aron Baynes\baynear01,C,31,BOS,14,9,20.1,2.6,5.1,.521,0.7,1.4,.500,1.9,3.6,.529,.592,0.4,0.6,.750,2.2,4.1,6.4,1.1,0.3,0.4,0.4,2.2,6.4
17,Bradley Beal\bealbr01,SG,24,WAS,6,6,36.0,8.2,18.0,.454,3.5,7.5,.467,4.7,10.5,.444,.551,3.3,3.8,.870,0.3,3.0,3.3,2.8,1.2,0.3,2.5,3.2,23.2
18,Marco Belinelli\belinma01,SG,31,PHI,10,0,27.3,4.3,10.6,.406,1.6,4.6,.348,2.7,6.0,.450,.481,2.7,3.1,.871,0.1,2.0,2.1,2.0,0.7,0.0,0.4,2.0,12.9
19,Jordan Bell\belljo01,C,23,GSW,8,0,5.0,0.3,1.1,.222,0.0,0.0,,0.3,1.1,.222,.222,0.4,0.8,.500,0.3,1.1,1.4,0.8,0.3,0.4,0.0,0.4,0.9
20,Davis Bertans\bertada01,PF,25,SAS,5,0,16.4,0.6,3.6,.167,0.6,3.2,.188,0.0,0.4,.000,.250,1.6,2.2,.727,0.2,2.0,2.2,1.2,0.4,0.0,0.2,2.0,3.4
21,Nemanja Bjelica\bjeline01,PF,29,MIN,5,0,9.4,1.4,3.2,.438,0.8,1.4,.571,0.6,1.8,.333,.563,1.0,1.4,.714,0.8,2.2,3.0,0.6,0.6,0.0,0.2,1.2,4.6
22,Tarik Black\blackta01,C,26,HOU,6,0,2.3,0.2,0.7,.250,0.0,0.0,,0.2,0.7,.250,.250,0.0,0.0,,0.2,0.7,0.8,0.2,0.0,0.2,0.0,0.7,0.3
23,Eric Bledsoe\bledser01,PG,28,MIL,7,7,32.1,5.3,12.0,.440,1.0,3.1,.318,4.3,8.9,.484,.482,2.0,2.9,.700,0.4,3.1,3.6,3.7,1.0,0.9,2.1,2.7,13.6
24,Bojan Bogdanovic\bogdabo02,SF,28,IND,7,7,34.0,4.6,11.6,.395,2.4,6.4,.378,2.1,5.1,.417,.500,0.9,1.4,.600,0.1,3.3,3.4,1.9,0.9,0.0,1.9,3.3,12.4
25,Trevor Booker\booketr01,PF,30,IND,7,0,9.1,0.9,1.4,.600,0.0,0.1,.000,0.9,1.3,.667,.600,0.9,1.0,.857,0.7,1.9,2.6,0.0,0.1,0.1,0.1,1.7,2.6
26,Tony Bradley\bradlto01,C,20,UTA,1,0,2.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
27,Corey Brewer\breweco01,SG,31,OKC,6,6,25.2,2.2,4.2,.520,0.8,1.8,.455,1.3,2.3,.571,.620,1.0,1.0,1.000,0.7,1.5,2.2,0.8,1.2,0.8,0.3,2.8,6.2
28,Malcolm Brogdon\brogdma01,PG,25,MIL,7,5,26.6,3.4,7.9,.436,0.7,2.7,.263,2.7,5.1,.528,.482,1.1,1.4,.800,0.4,3.0,3.4,2.4,0.1,0.0,1.7,2.0,8.7
29,Aaron Brooks\brookaa01,PG,33,MIN,2,0,1.5,1.0,1.5,.667,0.0,0.5,.000,1.0,1.0,1.000,.667,0.0,1.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
30,Jaylen Brown\brownja02,SG,21,BOS,13,10,31.9,7.0,14.2,.495,2.5,6.0,.423,4.5,8.2,.547,.584,1.3,2.4,.548,0.9,4.2,5.2,1.5,0.8,0.6,1.3,3.0,17.8
31,Lorenzo Brown\brownlo01,PG,27,TOR,4,0,7.3,0.8,2.5,.300,0.5,1.3,.400,0.3,1.3,.200,.400,0.3,0.5,.500,0.3,1.3,1.5,0.5,0.0,0.3,0.3,0.5,2.3
32,Sterling Brown\brownst02,SG,22,MIL,3,0,4.3,1.0,1.7,.600,0.3,1.0,.333,0.7,0.7,1.000,.700,0.0,0.0,,0.3,0.3,0.7,0.0,0.3,0.0,0.0,0.7,2.3
33,Alec Burks\burksal01,SG,26,UTA,9,0,13.3,3.3,7.1,.469,1.0,2.2,.450,2.3,4.9,.477,.539,1.4,1.7,.867,0.2,2.4,2.7,1.9,0.4,0.1,0.9,1.0,9.1
34,Jimmy Butler\butleji01,SG,28,MIN,5,5,34.0,5.6,12.6,.444,1.6,3.4,.471,4.0,9.2,.435,.508,3.0,3.6,.833,0.6,5.4,6.0,4.0,0.8,0.2,1.0,1.8,15.8
35,Jose Calderon\caldejo01,PG,36,CLE,8,3,11.3,0.9,2.6,.333,0.5,2.0,.250,0.4,0.6,.600,.429,0.3,0.3,1.000,0.1,0.6,0.8,0.6,0.5,0.0,0.6,1.8,2.5
36,Clint Capela\capelca01,C,23,HOU,12,12,31.8,6.0,9.3,.649,0.0,0.0,,6.0,9.3,.649,.649,1.4,2.9,.486,3.8,7.8,11.5,1.7,0.9,2.5,0.8,2.2,13.4
37,Ian Clark\clarkia01,SG,26,NOP,9,0,21.1,3.1,7.3,.424,1.1,3.1,.357,2.0,4.2,.474,.500,0.4,0.4,1.000,0.2,0.9,1.1,1.2,0.9,0.2,1.0,2.2,7.8
38,Jordan Clarkson\clarkjo01,SG,25,CLE,12,0,16.6,2.1,6.5,.321,0.5,2.3,.222,1.6,4.3,.373,.359,0.4,0.5,.833,0.3,1.3,1.7,1.0,0.5,0.1,0.8,1.0,5.1
39,Zach Collins\colliza01,C,20,POR,4,0,17.5,2.8,7.5,.367,0.8,3.5,.214,2.0,4.0,.500,.417,0.8,1.0,.750,0.8,2.3,3.0,1.5,0.8,0.5,0.5,2.5,7.0
40,Darren Collison\collida01,PG,30,IND,7,7,30.6,4.4,9.7,.456,1.1,3.3,.348,3.3,6.4,.511,.515,1.3,1.7,.750,0.1,2.9,3.0,4.7,1.0,0.0,1.3,1.0,11.3
41,Pat Connaughton\connapa01,SG,25,POR,4,0,14.8,1.5,3.8,.400,0.5,2.5,.200,1.0,1.3,.800,.467,0.5,0.5,1.000,0.5,0.5,1.0,1.5,0.3,0.3,0.3,2.3,4.0
42,Quinn Cook\cookqu01,PG,24,GSW,10,0,15.0,2.4,5.5,.436,0.5,2.5,.200,1.9,3.0,.633,.482,1.3,1.6,.813,0.2,2.0,2.2,0.9,0.2,0.2,0.4,0.9,6.6
43,Robert Covington\covinro01,SF,27,PHI,10,8,28.1,2.7,8.3,.325,1.5,4.8,.313,1.2,3.5,.343,.416,1.2,1.6,.750,1.2,4.1,5.3,2.5,1.1,0.9,1.1,3.0,8.1
44,Jamal Crawford\crawfja01,SG,37,MIN,5,0,24.6,4.2,9.4,.447,1.4,3.4,.412,2.8,6.0,.467,.521,2.0,2.6,.769,0.2,2.4,2.6,2.4,1.0,0.0,1.0,1.2,11.8
45,Jordan Crawford\crawfjo02,SG,29,NOP,2,0,7.5,4.0,6.5,.615,1.5,4.0,.375,2.5,2.5,1.000,.731,0.0,0.0,,0.0,2.0,2.0,0.5,0.5,0.0,1.5,0.5,9.5
46,Jae Crowder\crowdja01,SF,27,UTA,11,2,29.4,3.2,9.8,.324,2.0,6.0,.333,1.2,3.8,.310,.426,1.6,2.5,.643,0.4,4.7,5.1,1.7,1.4,0.2,1.3,2.3,10.0
47,Stephen Curry\curryst01,PG,29,GSW,6,5,32.3,7.8,16.8,.465,2.8,7.8,.362,5.0,9.0,.556,.550,3.5,3.7,.955,0.5,5.2,5.7,4.8,1.7,0.5,3.0,2.3,22.0
48,Anthony Davis\davisan02,PF,24,NOP,9,9,39.8,11.8,22.7,.520,0.7,2.4,.273,11.1,20.2,.549,.534,5.9,7.1,.828,2.7,10.8,13.4,1.7,2.0,2.3,2.6,3.3,30.1
49,Ed Davis\davised01,C,28,POR,4,0,17.8,1.3,2.5,.500,0.0,0.0,,1.3,2.5,.500,.500,0.3,1.0,.250,1.3,6.8,8.0,0.0,0.0,0.3,1.0,1.8,2.8
50,Matthew Dellavedova\dellama01,PG,27,MIL,6,0,13.0,0.7,2.0,.333,0.3,1.5,.222,0.3,0.5,.667,.417,0.3,0.3,1.000,0.2,0.7,0.8,2.7,0.3,0.0,1.0,1.0,2.0
51,DeMar DeRozan\derozde01,SG,28,TOR,10,10,35.4,8.7,19.9,.437,1.0,3.5,.286,7.7,16.4,.470,.462,4.3,5.3,.811,0.6,3.0,3.6,4.0,0.5,0.6,2.3,2.4,22.7
52,Cheick Diallo\diallch01,PF,21,NOP,7,0,6.9,0.7,1.7,.417,0.0,0.0,,0.7,1.7,.417,.417,0.0,0.0,,0.6,0.7,1.3,0.0,0.1,0.1,0.1,1.3,1.4
53,Gorgui Dieng\dienggo01,C,28,MIN,5,0,14.0,1.2,3.6,.333,0.4,1.0,.400,0.8,2.6,.308,.389,0.6,0.8,.750,0.6,3.0,3.6,0.8,0.4,0.8,0.2,1.2,3.4
54,Goran Dragic\dragigo01,PG,31,MIA,5,5,31.2,7.0,15.0,.467,1.6,4.2,.381,5.4,10.8,.500,.520,3.0,4.4,.682,0.6,2.0,2.6,4.6,1.0,0.0,3.0,3.0,18.6
55,Kevin Durant\duranke01,PF,29,GSW,12,12,37.0,10.8,21.3,.504,2.1,6.8,.309,8.7,14.6,.594,.553,6.0,6.6,.911,0.5,6.7,7.2,4.3,0.8,0.9,2.8,2.0,29.6
56,Wayne Ellington\ellinwa01,SG,30,MIA,5,0,20.2,2.4,7.0,.343,2.4,6.0,.400,0.0,1.0,.000,.514,0.6,0.6,1.000,0.2,1.4,1.6,0.6,0.4,0.4,0.6,1.8,7.8
57,Joel Embiid\embiijo01,C,23,PHI,8,8,34.8,7.5,17.3,.435,1.0,3.6,.276,6.5,13.6,.477,.464,5.4,7.6,.705,2.9,9.8,12.6,3.0,0.9,1.8,3.6,3.9,21.4
58,Dante Exum\exumda01,PG,22,UTA,10,0,11.4,2.0,4.1,.488,0.2,0.7,.286,1.8,3.4,.529,.512,0.9,1.2,.750,0.4,1.0,1.4,1.0,0.1,0.1,1.5,1.5,5.1
59,Derrick Favors\favorde01,C,26,UTA,11,9,26.0,3.8,6.2,.618,0.2,0.5,.400,3.6,5.7,.635,.632,1.5,3.0,.485,1.8,3.4,5.2,1.2,0.7,1.0,0.9,1.5,9.3
60,Raymond Felton\feltora01,PG,33,OKC,6,0,13.2,2.0,5.2,.387,1.2,2.3,.500,0.8,2.8,.294,.500,0.0,0.3,.000,0.3,1.8,2.2,1.5,0.7,0.3,0.8,1.2,5.2
61,Terrance Ferguson\fergute01,SG,19,OKC,3,0,2.0,0.3,0.3,1.000,0.3,0.3,1.000,0.0,0.0,,1.500,0.0,0.0,,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.7,1.0
62,Bryn Forbes\forbebr01,SG,24,SAS,4,0,13.5,1.3,4.3,.294,0.5,2.3,.222,0.8,2.0,.375,.353,1.3,1.8,.714,0.3,0.5,0.8,0.5,0.0,0.0,0.0,0.8,4.3
63,Tim Frazier\fraziti01,PG,27,WAS,2,0,3.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.5,0.5,1.5,0.5,0.0,0.0,1.0,0.0
64,Markelle Fultz\fultzma01,SG,19,PHI,3,0,7.7,0.3,2.3,.143,0.0,0.0,,0.3,2.3,.143,.143,1.0,1.3,.750,0.0,1.0,1.0,1.7,0.7,0.0,0.3,1.3,1.7
65,Pau Gasol\gasolpa01,C,37,SAS,5,0,18.0,2.0,4.0,.500,0.2,0.6,.333,1.8,3.4,.529,.525,1.8,2.0,.900,0.4,4.4,4.8,2.8,0.0,0.2,1.2,1.0,6.0
66,Rudy Gay\gayru01,PF,31,SAS,5,4,32.0,5.2,13.0,.400,0.8,3.6,.222,4.4,9.4,.468,.431,1.0,1.8,.556,1.8,3.8,5.6,2.2,1.6,0.2,1.2,3.2,12.2
67,Paul George\georgpa01,SF,27,OKC,6,6,41.8,8.2,20.0,.408,3.2,8.7,.365,5.0,11.3,.441,.488,5.2,6.0,.861,0.7,5.3,6.0,2.7,1.3,0.7,4.0,2.8,24.7
68,Marcus Georges-Hunt\georgma01,SG,23,MIN,2,0,1.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
69,Taj Gibson\gibsota01,PF,32,MIN,5,5,24.6,2.8,4.4,.636,0.0,0.0,,2.8,4.4,.636,.636,0.6,0.6,1.000,1.4,2.6,4.0,0.4,0.2,0.4,0.8,1.6,6.2
70,Manu Ginobili\ginobma01,SG,40,SAS,5,0,21.4,3.0,7.4,.405,1.2,3.6,.333,1.8,3.8,.474,.486,1.8,2.2,.818,0.2,2.8,3.0,3.2,1.4,0.2,1.4,2.6,9.0
71,Rudy Gobert\goberru01,C,25,UTA,11,11,34.8,5.0,7.6,.655,0.0,0.0,,5.0,7.6,.655,.655,3.2,5.3,.603,3.9,6.8,10.7,1.0,0.9,2.3,1.9,3.1,13.2
72,Eric Gordon\gordoer01,SG,29,HOU,12,0,31.1,4.5,12.1,.372,2.6,7.2,.360,1.9,4.9,.390,.479,2.7,3.1,.865,0.6,2.2,2.8,1.6,0.6,0.4,1.2,1.5,14.3
73,Marcin Gortat\gortama01,C,33,WAS,6,6,26.7,4.0,7.2,.558,0.0,0.0,,4.0,7.2,.558,.558,0.7,1.2,.571,2.2,4.2,6.3,1.0,0.0,0.3,1.0,2.5,8.7
74,Jerami Grant\grantje01,PF,23,OKC,6,0,22.2,3.0,5.8,.514,0.3,1.3,.250,2.7,4.5,.593,.543,0.8,1.8,.455,1.3,2.0,3.3,1.0,0.7,0.5,1.0,2.5,7.2
75,Danny Green\greenda02,SG,30,SAS,5,5,20.6,1.6,6.0,.267,1.0,4.0,.250,0.6,2.0,.300,.350,0.0,0.0,,0.8,1.4,2.2,0.2,0.2,0.8,0.4,1.6,4.2
76,Draymond Green\greendr01,PF,27,GSW,12,12,37.3,4.2,10.1,.413,1.3,4.3,.314,2.8,5.8,.486,.479,2.2,2.8,.788,2.3,8.6,10.8,8.8,1.9,1.4,3.2,3.3,11.8
77,Gerald Green\greenge01,SG,32,HOU,12,0,14.8,2.1,5.2,.403,1.4,4.1,.347,0.7,1.1,.615,.540,0.4,0.5,.833,0.5,2.9,3.4,0.1,0.3,0.2,0.4,1.9,6.0
78,Jeff Green\greenje02,PF,31,CLE,13,1,22.2,2.5,5.9,.429,1.1,3.0,.359,1.5,2.9,.500,.519,1.5,2.4,.645,0.3,1.8,2.1,1.5,0.4,0.8,0.7,1.7,7.7
79,James Harden\hardeja01,SG,28,HOU,12,12,35.2,9.4,22.4,.420,3.4,10.0,.342,6.0,12.4,.483,.496,7.2,8.1,.887,0.8,4.6,5.3,7.0,2.1,0.6,3.3,2.8,29.4
80,Maurice Harkless\harklma01,SF,24,POR,2,1,26.5,3.5,6.5,.538,1.0,3.0,.333,2.5,3.5,.714,.615,0.0,0.0,,1.5,2.5,4.0,2.0,0.0,0.5,0.5,2.0,8.0
81,John Henson\hensojo01,C,27,MIL,2,2,37.0,4.5,6.5,.692,0.0,0.0,,4.5,6.5,.692,.692,0.5,1.0,.500,2.0,4.0,6.0,2.5,0.0,3.5,2.0,2.0,9.5
82,Nene Hilario\hilarne01,C,35,HOU,11,0,9.7,1.1,1.8,.600,0.0,0.0,,1.1,1.8,.600,.600,0.6,1.0,.636,0.5,2.0,2.5,0.5,0.2,0.5,0.7,1.6,2.8
83,George Hill\hillge01,PG,31,CLE,10,9,27.0,2.9,5.7,.509,0.5,1.8,.278,2.4,3.9,.615,.553,2.3,2.8,.821,0.5,1.4,1.9,2.1,0.1,0.5,1.1,2.4,8.6
84,Solomon Hill\hillso01,SF,26,NOP,9,0,12.7,1.0,2.8,.360,0.7,1.8,.375,0.3,1.0,.333,.480,1.0,1.1,.900,0.7,1.2,1.9,0.8,0.1,0.1,0.7,1.9,3.7
85,Jrue Holiday\holidjr01,SG,27,NOP,9,9,38.7,9.8,18.9,.518,1.8,5.6,.320,8.0,13.3,.600,.565,2.3,3.3,.700,1.0,4.7,5.7,6.3,1.1,0.6,2.6,2.4,23.7
86,Richaun Holmes\holmeri01,C,24,PHI,3,0,3.7,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0,0.0
87,Rodney Hood\hoodro01,SG,25,CLE,12,1,16.7,2.1,5.2,.403,0.2,1.4,.118,1.9,3.8,.511,.419,0.6,0.8,.778,0.2,1.2,1.3,1.2,0.3,0.2,0.9,2.2,4.9
88,Al Horford\horfoal01,C,31,BOS,14,14,35.4,6.5,11.3,.576,0.9,2.4,.364,5.6,8.9,.632,.614,3.2,4.0,.804,1.9,6.5,8.4,3.6,1.1,1.4,1.9,2.1,17.1
89,Josh Huestis\huestjo01,PF,26,OKC,4,0,4.8,0.3,0.5,.500,0.0,0.0,,0.3,0.5,.500,.500,0.3,0.5,.500,0.0,0.8,0.8,0.0,0.3,0.3,0.0,0.8,0.8
90,Serge Ibaka\ibakase01,PF,28,TOR,10,9,26.0,3.0,7.2,.417,0.9,2.4,.375,2.1,4.8,.438,.479,1.8,2.2,.818,1.3,4.6,5.9,1.1,0.1,1.3,1.6,2.1,8.7
91,Andre Iguodala\iguodan01,SF,34,GSW,12,11,27.5,2.6,5.6,.463,0.9,2.6,.355,1.7,3.0,.556,.545,1.7,2.5,.667,0.8,4.3,5.1,3.1,1.3,0.3,1.1,1.9,7.8
92,Ersan Ilyasova\ilyaser01,PF,30,PHI,10,1,23.3,3.6,8.4,.429,0.9,3.1,.290,2.7,5.3,.509,.482,1.2,2.1,.571,2.6,5.0,7.6,1.3,0.7,0.4,1.0,2.5,9.3
93,Joe Ingles\inglejo01,SF,30,UTA,11,11,34.7,5.2,11.0,.471,3.2,7.0,.455,2.0,4.0,.500,.616,1.0,1.5,.647,0.5,3.9,4.4,3.4,0.5,0.2,2.4,2.6,14.5
94,Aaron Jackson\jacksaa01,PG,31,HOU,6,0,2.2,0.3,0.7,.500,0.0,0.3,.000,0.3,0.3,1.000,.500,0.2,0.3,.500,0.3,0.2,0.5,0.2,0.0,0.0,0.3,0.3,0.8
95,LeBron James\jamesle01,PF,33,CLE,13,13,40.8,12.4,22.9,.540,1.5,5.2,.294,10.8,17.7,.613,.574,7.1,9.7,.730,1.3,7.9,9.2,9.2,1.3,1.1,3.6,2.1,33.4
96,Brandon Jennings\jennibr01,PG,28,MIL,1,0,5.0,0.0,2.0,.000,0.0,2.0,.000,0.0,0.0,,.000,2.0,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
97,Jonas Jerebko\jerebjo01,PF,30,UTA,10,0,7.9,0.8,1.9,.421,0.1,0.6,.167,0.7,1.3,.538,.447,0.2,0.2,1.000,0.4,1.2,1.6,0.3,0.3,0.0,0.1,0.9,1.9
98,Amir Johnson\johnsam01,C,30,PHI,8,1,11.8,1.4,2.6,.524,0.0,0.0,,1.4,2.6,.524,.524,0.5,0.6,.800,1.8,1.1,2.9,1.1,0.3,0.1,0.4,1.3,3.3
99,Dakari Johnson\johnsda04,C,22,OKC,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,James Johnson\johnsja01,PF,30,MIA,5,5,32.2,4.6,8.4,.548,1.4,2.6,.538,3.2,5.8,.552,.631,1.8,2.8,.643,0.6,5.4,6.0,4.8,1.2,1.2,2.0,3.4,12.4
101,Joe Johnson\johnsjo02,SF,36,HOU,5,0,6.6,0.6,1.8,.333,0.0,0.2,.000,0.6,1.6,.375,.333,0.0,0.0,,0.0,1.2,1.2,0.4,0.0,0.2,0.2,0.8,1.2
102,Tyler Johnson\johnsty01,PG,25,MIA,5,5,16.2,2.8,5.2,.538,1.2,2.0,.600,1.6,3.2,.500,.654,1.2,1.4,.857,0.2,1.4,1.6,0.8,0.4,0.0,0.4,2.8,8.0
103,Damian Jones\jonesda03,C,22,GSW,4,0,2.8,0.3,0.5,.500,0.0,0.0,,0.3,0.5,.500,.500,0.5,0.8,.667,0.3,0.5,0.8,0.0,0.0,0.0,0.8,1.0,1.0
104,Tyus Jones\jonesty01,PG,21,MIN,4,0,13.8,0.5,1.8,.286,0.0,0.5,.000,0.5,1.3,.400,.286,0.0,0.0,,0.0,2.3,2.3,2.0,0.3,0.0,0.3,0.0,1.0
